Nom magasin;Adresse;Ville;Code postale;Téléphone;Catégories;image name
Culture Pain;14 r Anatole France;HAGONDANGE;57300 ;03 87 71 56 00;Alimentaiton;IMG00429-20140101-1448.jpg
Gitter Cuisines;70 r Metz;HAGONDANGE;57300 ;03 87 71 76 98;Maison;IMG00430-20140101-1450.jpg
Le Paradisio;70 r Metz;HAGONDANGE;57300 ;03 87 70 21 95;Alimentaiton;IMG00431-20140101-1450.jpg
RapidFlore;90 r Metz;HAGONDANGE;57300 ;03 87 40 18 30;Brico - Jardin;IMG00432-20140101-1451.jpg
Fabiola Coiffure;63 r Metz;TALANGE;57525 ;03 87 71 52 53;Mode – Bijoux;IMG00433-20140101-1454.jpg
Espace Aubade Mequisa Distributeur   ;Pôle d'Activités Nord;Talange;57525 ;03 87 71 25 26;Maison;IMG00435-20140101-1457.jpg
Alhambra;1 bd Trèves;METZ;57070 ;03 87 21 01 48;Alimentation;IMG00436-20140101-1508.jpg
Jalouses;13 r Tanneurs;METZ;57000 ;03 87 66 27 83;Mode;IMG00439-20140101-1510.jpg
La cabane verte;11 r Tanneurs;METZ;57000 ;09 80 76 86 13;Mode;IMG00440-20140101-1510.jpg
Tabl' A Tapas;8 pl Charrons;Metz;57000 ;03 87 75 03 75;Alimentation;IMG00441-20140101-1519.jpg
Corso;24 r Taison;METZ;57000 ;03 87 75 05 58;Mode;IMG00442-20140101-1520.jpg
Les Délices du Fournil;20 pl Quarteau;METZ;57000 ;03 87 36 01 98;Alimentation;IMG00443-20140101-1520.jpg
Les Sans Culottes;31 pl Charrons;METZ;57000 ;03 72 13 55 72;Alimentation;IMG00445-20140101-1521.jpg
Inter-Ménager;54 r Mazelle;METZ;57000 ;03 87 74 38 17;Maison;IMG00446-20140101-1522.jpg
Chez Moi;22 pl Charrons;Metz;57000 ;03 87 74 39 79;Alimentation;IMG00447-20140101-1522.jpg
Bar Saint Maximin;58 r Mazelle;Metz;57000 ;03 87 75 50 11;Alimentation;IMG00448-20140101-1523.jpg
Perruques Et Postiches;1 pl Pont à Seille;Metz;57000 ;03 87 18 93 40;Mode;IMG00450-20140101-1527.jpg
Proxi Super;4 pl Pont à Seille;Metz;57000 ;;Alimentation;IMG00452-20140101-1529.jpg
Le Coste;5 r Coislin;Metz;57000 ;03 87 75 26 21;Alimentation;IMG00453-20140101-1529.jpg
So Man So Woman So Beautiful;5 r Coislin;Metz;57000 ;03 87 74 04 25;Mode;IMG00454-20140101-1530.jpg
La Pause;5 A r Coislin;Metz;57000 ;03 87 35 74 40;Alimentation;IMG00455-20140101-1530.jpg
